BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
1,Algeria,2010,MF,15,999,21.12,43.9,25.88,23.21,17.08,11.77,6.66,6.68,4.19,2.12,0.37,25853,DZA,Middle East and North Africa
3,Benin,2010,MF,15,999,53.91,18.66,12.18,23.67,17.77,3.76,2.01,4.43,2.57,1.74,0.12,5579,BEN,Sub-Saharan Africa
4,Botswana,2010,MF,15,999,9.83,6.24,4.76,80.04,29.03,3.89,2.02,9.55,6.26,3.18,0.12,1107,BWA,Sub-Saharan Africa
6,Burundi,2010,MF,15,999,50.43,39.35,25.98,9.18,4.97,1.04,0.54,3.35,2.78,0.53,0.03,5068,BDI,Sub-Saharan Africa
7,Cameroon,2010,MF,15,999,20.73,47.91,31.25,28.29,15.28,3.07,1.64,6.15,4.26,1.8,0.09,10766,CMR,Sub-Saharan Africa
9,Central African Republic,2010,MF,15,999,51.59,29.06,19.02,17.78,9.54,1.57,0.83,3.76,2.6,1.11,0.05,2518,CAF,Sub-Saharan Africa
12,Congo,2010,MF,15,999,27.48,25.53,6.37,45.52,6.64,1.47,0.64,5.94,3.78,2.12,0.04,2425,COG,Sub-Saharan Africa
13,Egypt,2010,MF,15,999,31.12,9.04,5.71,48.1,26.38,11.75,6.65,7.15,3.84,2.94,0.37,54733,EGY,Middle East and North Africa
15,Gabon,2010,MF,15,999,14.68,29.48,18.5,44.89,23.18,10.95,6.3,8.39,4.79,3.26,0.34,936,GAB,Sub-Saharan Africa
16,Gambia,2010,MF,15,999,61.76,4.89,4.1,31.71,4.63,1.64,0.91,3.77,2.21,1.51,0.05,1043,GMB,Sub-Saharan Africa
17,Ghana,2010,MF,15,999,30.41,11.74,7.59,55.2,18.5,2.64,1.44,7,4.05,2.87,0.08,15334,GHA,Sub-Saharan Africa
20,Cote dIvoire,2010,MF,15,999,39.61,37.3,24.38,19.07,8.09,4.02,2.13,4.65,3.24,1.29,0.12,11857,CIV,Sub-Saharan Africa
21,Kenya,2010,MF,15,999,19.68,51.47,21.95,22.4,13.3,6.45,3.4,6.14,4.47,1.47,0.2,22220,KEN,Sub-Saharan Africa
22,Lesotho,2010,MF,15,999,12.39,65.45,22.71,20.79,13.18,1.37,0.76,5.85,4.83,0.98,0.04,1111,LSO,Sub-Saharan Africa
23,Liberia,2010,MF,15,999,47.26,28.88,19.24,20.04,12.49,3.82,1.9,4.2,2.88,1.21,0.11,1986,LBR,Sub-Saharan Africa
25,Malawi,2010,MF,15,999,18.02,64.32,15.81,17.42,7.92,0.25,0.15,4.81,4.15,0.65,0.01,7664,MWI,Sub-Saharan Africa
26,Mali,2010,MF,15,999,74.57,11.17,5.05,12.74,3.86,1.51,0.78,1.97,1.33,0.59,0.05,8155,MLI,Sub-Saharan Africa
27,Mauritania,2010,MF,15,999,32.16,50.92,32.93,15.15,8.21,1.77,0.97,4.53,3.61,0.86,0.05,2017,MRT,Sub-Saharan Africa
28,Mauritius,2010,MF,15,999,5.38,33.22,8.03,56.69,44.52,4.71,1.88,8.86,4.92,3.81,0.13,1004,MUS,Sub-Saharan Africa
29,Morocco,2010,MF,15,999,43.76,24.82,21.69,22.05,12.13,9.37,5.35,4.96,2.81,1.86,0.29,23834,MAR,Middle East and North Africa
30,Mozambique,2010,MF,15,999,68.14,24.23,16.47,7.16,3.38,0.46,0.26,1.93,1.58,0.33,0.01,12336,MOZ,Sub-Saharan Africa
31,Niger,2010,MF,15,999,72.85,19.88,13.12,6.3,3.39,0.97,0.51,1.88,1.43,0.42,0.03,8403,NER,Sub-Saharan Africa
33,Rwanda,2010,MF,15,999,45.18,40.39,33.84,12.77,6.16,1.66,0.53,4.36,3.64,0.68,0.04,5837,RWA,Sub-Saharan Africa
34,Senegal,2010,MF,15,999,58.58,30.23,16.52,8.91,2.19,2.34,1.25,2.74,2.08,0.59,0.07,7755,SEN,Sub-Saharan Africa
36,Sierra Leone,2010,MF,15,999,57,15.56,7.87,25.28,7.66,2.16,1.22,4.23,2.67,1.49,0.07,3493,SLE,Sub-Saharan Africa
38,South Africa,2010,MF,15,999,5.65,17.48,6.22,72.31,53.9,4.56,0.32,9.69,6.21,3.38,0.1,32760,ZAF,Sub-Saharan Africa
39,Sudan,2010,MF,15,999,53.74,33.51,31.07,9.35,2.68,3.4,1.87,3.21,2.53,0.58,0.11,25108,SDN,Sub-Saharan Africa
40,Swaziland,2010,MF,15,999,32.94,36.18,13.16,28.37,5.4,2.5,1.64,5.06,3.89,1.09,0.08,624,SWZ,Sub-Saharan Africa
41,United Republic of Tanzania,2010,MF,15,999,17.69,69.39,50.22,12.24,2.2,0.69,0.36,5.81,5.22,0.57,0.02,24747,TZA,Sub-Saharan Africa
42,Togo,2010,MF,15,999,39.63,22.97,20.52,34.57,9.18,2.83,1.51,5.49,3.55,1.86,0.09,4044,TGO,Sub-Saharan Africa
43,Tunisia,2010,MF,15,999,20.87,29.37,18.32,37.06,16.44,12.7,7.38,7.48,4.42,2.66,0.4,8180,TUN,Middle East and North Africa
44,Uganda,2010,MF,15,999,12.18,59.02,13.56,26.52,6.02,2.27,1.23,5.7,4.42,1.21,0.06,17053,UGA,Sub-Saharan Africa
45,Democratic Republic of the Congo,2010,MF,15,999,44.34,31.42,7.17,23.37,12.56,0.88,0.46,3.66,2.61,1.02,0.03,35083,COD,Sub-Saharan Africa
46,Zambia,2010,MF,15,999,13.96,38.53,27.45,46.55,16.53,0.97,0.49,7.32,5.76,1.53,0.03,7000,ZMB,Sub-Saharan Africa
47,Zimbabwe,2010,MF,15,999,5.08,39.28,26.68,54.89,6.83,0.75,0.38,7.61,5.64,1.95,0.02,8347,ZWE,Sub-Saharan Africa
49,Barbados,2010,MF,15,999,0.22,9.4,4.06,85.75,21.76,4.63,2.07,9.45,5.83,3.49,0.13,225,BRB,Latin America and the Caribbean
50,Canada,2010,MF,15,999,0.67,4.79,2.24,50.63,31.79,43.91,22.67,12.32,5.88,5.11,1.33,28292,CAN,Advanced Economies
51,Costa Rica,2010,MF,15,999,4.67,49.61,34.08,28.95,18.86,16.78,14.69,7.97,5.25,2.08,0.63,3463,CRI,Latin America and the Caribbean
